field,type,description
gnr,float,"GLOBAL_NON_RESPONSE_RATE_NHS: An indicator of data quality, the GLOBAL_NON_RESPONSE_RATE_NHS indicator is a value that combines complete non-response (household) and partial non-response (question) into a single rate.  A smaller GNR indicates a lower risk of non-response bias and as a result, lower risk of inaccuracy. The threshold used for estimates' suppression is a GNR of 50% or more. For more information, please refer to the National Household Survey User Guide, 2011 (http://www12.statcan.gc.ca/nhs-enm/2011/ref/nhs-enm_guide/index-eng.cfm). The possible range of values is 0 to 100"
hshldincome_median,float,"HSHLDINCOME_MEDIAN: Median household total income, 2010 ($). e.g., 57700"
hshldincome_5kunder,int,"HSHLDINCOME_5KUNDER: Household total income in 2010 of private households - Under $5,000 (count). e.g., 515"
hshldincome_5k_10k,int,"HSHLDINCOME_5K_10K: Household total income in 2010 of private households - $5,000 to $9,999 (count). e.g., 245"
hshldincome_10k_15k,int,"HSHLDINCOME_10K_15K: Household total income in 2010 of private households - $10,000 to $14,999 (count). e.g., 560"
hshldincome_15k_20k,int,"HSHLDINCOME_15K_20K: Household total income in 2010 of private households - $15,000 to $19,999 (count). e.g., 1035"
hshldincome_20k_30k,int,"HSHLDINCOME_20K_30K: Household total income in 2010 of private households - $20,000 to $29,999 (count). e.g., 1630"
hshldincome_30k_40k,int,"HSHLDINCOME_30K_40K: Household total income in 2010 of private households - $30,000 to $39,999 (count). e.g., 1460"
hshldincome_40k_50k,int,"HSHLDINCOME_40K_50K: Household total income in 2010 of private households - $40,000 to $49,999 (count). e.g., 1710"
hshldincome_50k_60k,int,"HSHLDINCOME_50K_60K: Household total income in 2010 of private households - $50,000 to $59,999 (count). e.g., 1640"
hshldincome_60k_70k,int,"HSHLDINCOME_60K_70K: Household total income in 2010 of private households - $60,000 to $79,999 (count). e.g., 2850"
hshldincome_80k_90k,int,"HSHLDINCOME_80K_90K: Household total income in 2010 of private households - $80,000 to $99,999 (count). e.g., 1850"
hshldincome_100k_125k,int,"HSHLDINCOME_100K_125K: Household total income in 2010 of private households - $100,000 to $124,999 (count). e.g., 1375"
hshldincome_125k_150k,int,"HSHLDINCOME_125K_150K: Household total income in 2010 of private households - $125,000 to $149,999 (count). e.g., 455"
hshldincome_150kplus,int,"HSHLDINCOME_150KPLUS: Household total income in 2010 of private households - $150,000 and over (count). e.g., 445"
wrkfrc_ed_u12,int,"WRKFRC_ED_U12: Education (25-64) - No certificate, diploma or degree. e.g., 4855"
wrkfrc_ed_12,int,"WRKFRC_ED_12: Education (25-64) - High school diploma or equivalent. e.g., 6780"
wrkfrc_ed_asscdeg,int,"WRKFRC_ED_ASSCDEG: Education (25-64) - Apprenticeship or trades certificate or diploma; Apprenticeship or trades certificate or diploma; University certificate or diploma below bachelor level; . e.g., 4385"
wrkfrc_ed_collegegrad_gt16yrs,int,"WRKFRC_ED_COLLEGEGRAD_GT16YRS: Education (25-64) - University certificate, diploma or degree above bachelor level. e.g., 1135"
wrkfrc_ed_collegegrad_16yrs,int,"WRKFRC_ED_COLLEGEGRAD_16YRS: Education (25-64) - Bachelor's degree. e.g., 2305"
industry_agriculture,int,"INDUSTRY_AGRICULTURE: Industry - 11 Agriculture, forestry, fishing and hunting. e.g., 150"
industry_mining,int,"INDUSTRY_MINING: Industry - 21 Mining, quarrying, and oil and gas extraction. e.g., 325"
industry_utilities,int,"INDUSTRY_UTILITIES: Industry - 22 Utilities. e.g., 45"
industry_construction,int,"INDUSTRY_CONSTRUCTION: Industry - 23 Construction. e.g., 615"
industry_manufacturing,int,"INDUSTRY_MANUFACTURING: Industry - 31-33 Manufacturing. e.g., 445"
industry_wholesale,int,"INDUSTRY_WHOLESALE: Industry - 41 Wholesale trade. e.g., 280"
industry_retail,int,"INDUSTRY_RETAIL: Industry - 44-45 Retail trade. e.g., 1605"
industry_transport,int,"INDUSTRY_TRANSPORT: Industry - 48-49 Transportation and warehousing. e.g., 465"
industry_info_cultural,int,"INDUSTRY_INFO_CULTURAL: Industry - 51 Information and cultural industries. e.g., 255"
industry_finance_insurance,int,"INDUSTRY_FINANCE_INSURANCE: Industry - 52 Finance and insurance. e.g., 365"
industry_realestate,int,"INDUSTRY_REALESTATE: Industry - 53 Real estate and rental and leasing. e.g., 170"
industry_professional,int,"INDUSTRY_PROFESSIONAL: Industry - 54 Professional, scientific and technical services. e.g., 465"
industry_management,int,"INDUSTRY_MANAGEMENT: Industry - 55 Management of companies and enterprises. e.g., 0"
industry_admin_waste,int,"INDUSTRY_ADMIN_WASTE: Industry - 56 Administrative and support, waste management and remediation services. e.g., 355"
industry_education,int,"INDUSTRY_EDUCATION: Industry - 61 Educational services. e.g., 755"
industry_health,int,"INDUSTRY_HEALTH: Industry - 62 Health care and social assistance. e.g., 1290"
industry_arts_rec,int,"INDUSTRY_ARTS_REC: Industry - 71 Arts, entertainment and recreation. e.g., 200"
insustry_accomm_food,int,"INSUSTRY_ACCOMM_FOOD: Industry - 72 Accommodation and food services. e.g., 835"
industry_other,int,"INDUSTRY_OTHER: Industry - 81 Other services (except public administration). e.g., 610"
industry_public_admin,int,"INDUSTRY_PUBLIC_ADMIN: Industry - 91 Public administration. e.g., 490"
occupation_management,int,"OCCUPATION_MANAGEMENT: Occupation - 0 Management occupations. e.g., 940"
occupation_business,int,"OCCUPATION_BUSINESS: Occupation - 1 Business, finance and administration occupations. e.g., 1410"
occupation_science,int,"OCCUPATION_SCIENCE: Occupation - 2 Natural and applied sciences and related occupations. e.g., 370"
occupation_health,int,"OCCUPATION_HEALTH: Occupation - 3 Health occupations. e.g., 715"
occupation_education_law,int,"OCCUPATION_EDUCATION_LAW: Occupation - 4 Occupations in education, law and social, community and government services. e.g., 1195"
occupation_art_culture_rec,int,"OCCUPATION_ART_CULTURE_REC: Occupation - 5 Occupations in art, culture, recreation and sport. e.g., 175"
occupation_sales_service,int,"OCCUPATION_SALES_SERVICE: Occupation - 6 Sales and service occupations. e.g., 2760"
occupation_trades,int,"OCCUPATION_TRADES: Occupation - 7 Trades, transport and equipment operators and related occupations. e.g., 1620"
occupation_resources_ag,int,"OCCUPATION_RESOURCES_AG: Occupation - 8 Natural resources, agriculture and related production occupations. e.g., 195"
occupation_manufacturing,int,"OCCUPATION_MANUFACTURING: Occupation - 9 Occupations in manufacturing and utilities. e.g., 320"
commute_median,int,"COMMUTE_MEDIAN: Median commuting duration (minutes). e.g., 10.2"
laborforce_participation_male,float,"LABORFORCE_PARTICIPATN_MALE: Labour force participation rate - male. e.g., 67.3"
laborforce_participation_female,float,"LABORFORCE_PARTICIPATN_FEMALE: Labour force participation rate - female. e.g., 59.3"
